brood,individual,type,social.parent,year
Test_F1,SAR_15_6748,offspring,0,2015
Test_F1,SAR_15_6749,offspring,0,2015
Test_F1,SAR_15_6750,offspring,0,2015
Test_F1,SAR_15_6751,offspring,0,2015
Test_F1,SAR_15_6752,offspring,0,2015
Test_F1,SAR_15_6753,offspring,0,2015
Test_F1,SAR_15_6754,offspring,0,2015
Test_F1,SAR_15_6755,offspring,0,2015
Test_F1,SAR_15_6756,offspring,0,2015
Test_F1,SAR_15_6758,offspring,0,2015
Test_F1,SAR_15_6759,offspring,0,2015
Test_F1,SAR_15_6760,offspring,0,2015
Test_F1,SAR_15_6761,offspring,0,2015
Test_F1,SAR_15_6762,offspring,0,2015
Test_F1,SAR_15_6763,offspring,0,2015
Test_F1,SAR_15_6764,offspring,0,2015
Test_F1,SAR_15_6765,offspring,0,2015
Test_F1,SAR_15_6766,offspring,0,2015
Test_F1,SAR_15_6767,offspring,0,2015
Test_F1,SAR_15_6768,offspring,0,2015
Test_F1,SAR_15_6769,offspring,0,2015
Test_F1,SAR_15_6770,offspring,0,2015
Test_F1,SAR_15_6771,offspring,0,2015
Test_F1,SAR_15_6772,offspring,0,2015
Test_F1,SAR_15_6773,offspring,0,2015
Test_F1,SAR_15_6774,offspring,0,2015
Test_F1,SAR_15_6775,offspring,0,2015
Test_F1,SAR_15_6776,offspring,0,2015
Test_F1,SAR_15_6777,offspring,0,2015
Test_F1,SAR_15_6778,offspring,0,2015
Test_F1,SAR_15_6779,offspring,0,2015
Test_F1,SAR_15_6780,offspring,0,2015
Test_F1,SAR_15_6781,offspring,0,2015
Test_F1,SAR_15_6782,offspring,0,2015
Test_F1,SAR_15_6783,offspring,0,2015
Test_F1,SAR_15_6784,offspring,0,2015
Test_F1,SAR_15_6785,offspring,0,2015
Test_F1,SAR_15_6786,offspring,0,2015
Test_F1,SAR_15_6787,offspring,0,2015
Test_F1,SAR_15_6788,offspring,0,2015
Test_F1,SAR_15_6789,offspring,0,2015
Test_F1,SAR_15_6790,offspring,0,2015
Test_F1,SAR_15_6791,offspring,0,2015
Test_F1,SAR_15_6792,offspring,0,2015
Test_F1,SAR_15_6793,offspring,0,2015
Test_F1,SAR_15_6794,offspring,0,2015
Test_F1,SAR_15_6795,offspring,0,2015
Test_F1,SAR_15_6796,offspring,0,2015
Test_F1,SAR_15_6400,F,0,2015
Test_F1,SAR_15_6401,M,0,2015
Test_F1,SAR_15_6402,F,0,2015
Test_F1,SAR_15_6403,F,0,2015
Test_F1,SAR_15_6404,M,0,2015
Test_F1,SAR_15_6405,M,0,2015
Test_F1,SAR_15_6406,F,0,2015
Test_F1,SAR_15_6407,M,0,2015
Test_F1,SAR_15_6408,M,0,2015
Test_F1,SAR_15_6409,F,0,2015
Test_F1,SAR_15_6410,M,0,2015
Test_F1,SAR_15_6411,F,0,2015
Test_F1,SAR_15_6412,M,0,2015
Test_F1,SAR_15_6413,M,0,2015
Test_F1,SAR_15_6414,M,0,2015
Test_F1,SAR_15_6415,M,0,2015
Test_F1,SAR_15_6416,M,0,2015
Test_F1,SAR_15_6417,F,0,2015
Test_F1,SAR_15_6418,M,0,2015
Test_F1,SAR_15_6419,F,0,2015
Test_F1,SAR_15_6420,M,0,2015
Test_F1,SAR_15_6421,F,0,2015
Test_F1,SAR_15_6422,M,0,2015
Test_F1,SAR_15_6423,F,0,2015
Test_F1,SAR_15_6424,M,0,2015
Test_F1,SAR_15_6425,F,0,2015
Test_F1,SAR_15_6426,F,0,2015
Test_F1,SAR_15_6427,M,0,2015
Test_F1,SAR_15_6428,F,0,2015
Test_F1,SAR_15_6429,M,0,2015
Test_F1,SAR_15_6430,M,0,2015
Test_F1,SAR_15_6431,F,0,2015
Test_F1,SAR_15_6432,M,0,2015
Test_F1,SAR_15_6433,M,0,2015
Test_F1,SAR_15_6434,M,0,2015
Test_F1,SAR_15_6435,M,0,2015
Test_F1,SAR_15_6437,F,0,2015
Test_F1,SAR_15_6438,M,0,2015
Test_F1,SAR_15_6439,M,0,2015
Test_F1,SAR_15_6440,F,0,2015
Test_F1,SAR_15_6441,F,0,2015
Test_F1,SAR_15_6442,F,0,2015
Test_F1,SAR_15_6443,F,0,2015
Test_F1,SAR_15_6444,M,0,2015
Test_F1,SAR_15_6445,F,0,2015
Test_F1,SAR_15_6446,F,0,2015
Test_F1,SAR_15_6447,M,0,2015
Test_F1,SAR_15_6448,M,0,2015
Test_F1,SAR_15_6449,M,0,2015
Test_F1,SAR_15_6450,F,0,2015
Test_F1,SAR_15_6451,M,0,2015
Test_F1,SAR_15_6452,M,0,2015
Test_F1,SAR_15_6453,M,0,2015
Test_F1,SAR_15_6454,F,0,2015
Test_F1,SAR_15_6455,F,0,2015
Test_F1,SAR_15_6456,F,0,2015
Test_F1,SAR_15_6457,F,0,2015
Test_F1,SAR_15_6458,M,0,2015
Test_F1,SAR_15_6459,F,0,2015
Test_F1,SAR_15_6460,M,0,2015
Test_F1,SAR_15_6461,F,0,2015
Test_F1,SAR_15_6462,F,0,2015
Test_F1,SAR_15_6463,F,0,2015
Test_F1,SAR_15_6464,M,0,2015
Test_F1,SAR_15_6465,M,0,2015
Test_F1,SAR_15_6466,M,0,2015
Test_F1,SAR_15_6467,F,0,2015
Test_F1,SAR_15_6468,M,0,2015
Test_F1,SAR_15_6469,M,0,2015
Test_F1,SAR_15_6470,F,0,2015
Test_F1,SAR_15_6471,M,0,2015
Test_F1,SAR_15_6472,F,0,2015
Test_F1,SAR_15_6473,M,0,2015
Test_F1,SAR_15_6474,M,0,2015
Test_F1,SAR_15_6475,M,0,2015
Test_F1,SAR_15_6476,F,0,2015
Test_F1,SAR_15_6477,M,0,2015
Test_F1,SAR_15_6478,M,0,2015
Test_F1,SAR_15_6479,F,0,2015
Test_F1,SAR_15_6480,F,0,2015
Test_F1,SAR_15_6481,F,0,2015
Test_F1,SAR_15_6482,F,0,2015
Test_F1,SAR_15_6483,M,0,2015
Test_F1,SAR_15_6484,M,0,2015
Test_F1,SAR_15_6485,M,0,2015
Test_F1,SAR_15_6486,M,0,2015
Test_F1,SAR_15_6487,M,0,2015
Test_F1,SAR_15_6488,F,0,2015
Test_F1,SAR_15_6489,F,0,2015
Test_F1,SAR_15_6490,F,0,2015
Test_F1,SAR_15_6491,F,0,2015
Test_F1,SAR_15_6492,F,0,2015
Test_F1,SAR_15_6493,F,0,2015
Test_F1,SAR_15_6494,M,0,2015
Test_F1,SAR_15_6495,M,0,2015
Test_F1,SAR_15_6496,M,0,2015
Test_F1,SAR_15_6497,M,0,2015
Test_F1,SAR_15_6498,M,0,2015
Test_F1,SAR_15_6499,F,0,2015
Test_F1,SAR_15_6500,M,0,2015
Test_F1,SAR_15_6501,F,0,2015
Test_F1,SAR_15_6502,F,0,2015
Test_F1,SAR_15_6503,M,0,2015
Test_F1,SAR_15_6504,F,0,2015
Test_F1,SAR_15_6505,F,0,2015
Test_F1,SAR_15_6506,F,0,2015
Test_F1,SAR_15_6507,M,0,2015
Test_F1,SAR_15_6508,F,0,2015
Test_F1,SAR_15_6509,F,0,2015
Test_F1,SAR_15_6510,M,0,2015
Test_F1,SAR_15_6511,M,0,2015
Test_F1,SAR_15_6512,F,0,2015
Test_F1,SAR_15_6513,M,0,2015
